title,date,author,image,description,keywords,canonical_url,category,content,reading_time,scraped_at
  Smartphones à 29 dirhams : l’arnaque usurpant le logo d’Electroplanet qui prolifère sur Facebook,2025-08-05T00:00:00,Amine Belghazi,https://cdn.telquel.ma/content/uploads/2025/08/65eeabca4781f2cdbce1fc55158f2cf9.jpeg,"Des faux sites clonant Electroplanet inondent les réseaux sociaux marocains avec des offres impossibles : smartphones à 29 dirhams, ordinateurs à 10 dirhams. Cette escroquerie numérique, orchestrée depuis plusieurs années par des fraudeurs présumés d'Afrique de l'Ouest, illustre les difficultés de régulation des plateformes face aux arnaques en ligne.","['arnaques', 'Electroplanet', 'facebook', 'fraude', 'Omar Oudghiri', 'Réseaux Sociaux', 'Smartphone']",https://telquel.ma/2025/08/05/smartphones-a-29-dirhams-larnaque-usurpant-le-logo-delectroplanet-qui-prolifere-sur-facebook_1945346,Diplomatie,"Depuis plusieurs mois, des dizaines de pages frauduleuses pullulent sur les réseaux sociaux des utilisateurs marocains, usurpant l’identité visuelle et le nom de la célèbre enseigne Electroplanet. Leur promesse ? Des smartphones Samsung dernier cri à… 29 dirhams. Une offre trop belle pour être vraie. Et pour cause : il s’agit d’une arnaque visant à piéger les internautes les moins méfiants. Derrière ces publications, une mécanique bien huilée. Une page Facebook portant le logo des magasins Electroplanet, et arborant un nom identique à celui de la véritable enseigne, publie une offre spectaculaire. En cliquant, l’utilisateur est redirigé vers un site web qui n’est autre qu’un clone du portail officiel de l’entreprise. Graphisme, charte visuelle, typographie : tout est pensé pour donner l’illusion d’une vraie opération commerciale. La suite de cet article est réservée aux abonnés. Soutenez un média indépendant et exigeant Accédez à tous les contenus de TelQuel en illimité Lisez le magazine en numérique avant sa sortie en kiosque Accédez à plus de 1000 numéros de TelQuel numérisés Déjà abonné ? Se connecter",1,2025-08-05T15:50:58.234034
  Société,,,https://cdn.telquel.ma/content/themes/telquel/dist/images/LOGO-grand.jpg,L'actualité du Maroc tel qu'il est,[],https://telquel.ma/categorie/maroc/societe,Instant T,,1,2025-08-05T15:51:00.624521
  Hicham Aït Menna fragilisé : vers un possible changement de présidence au WAC ?,2025-08-05T00:00:00,Younes Saoury,https://cdn.telquel.ma/content/uploads/2025/08/1eb8978b55fa587ebc8414a209725226.jpg,"Un an après son élection, Hicham Aït Menna, président du Wydad, fait face à une fronde inédite. Par voie d'huissier, 130 adhérents du club — soit plus de la moitié du collège électoral — ont officiellement réclamé la convocation d'une assemblée générale ordinaire pour contester un bilan désastreux et une gouvernance jugée défaillante. Cette mobilisation structurée pourrait mener à la destitution du président.","['Al-Aïn', 'CAF', 'Coupe du monde des clubs', 'football', 'FRMF', 'gouvernance sportive', 'hicham aït menna', 'juventus', 'Karim Glaibi', 'Ligue professionnelle', 'Loi 30-09', 'Manchester City', 'said naciri', 'wac', 'wydad']",https://telquel.ma/2025/08/05/hicham-ait-menna-fragilise-vers-un-possible-changement-de-presidence-au-wac_1945289,Instant T,"Le Wydad Athletic Club est à l’arrêt. Sportivement d’abord, avec deux saisons consécutives sans podium et une élimination sans appel lors de la Coupe du Monde des Clubs. Institutionnellement ensuite, avec une base adhérente en pleine effervescence. Plus de 130 membres actifs du club, sur les 238 que compte l’assemblée générale, ont transmis, par huissier de justice avec accusé de réception, une requête formelle exigeant la convocation d’une assemblée générale ordinaire. En toile de fond : un besoin pressant d’explications sur le bilan sportif et financier du président Hicham Aït Menna, élu le 24 juillet 2024 dans un contexte de transition, après la démission de Abdelmajid Bernaki, qui avait brièvement assuré la présidence, le 27 juin, à la suite de l’arrestation de Saïd Naciri. La mobilisation s’appuie sur l’article 18 du statut type des associations sportives, la loi 30.09 et les circulaires de la FRMF relatives au fonctionnement des clubs. Les signataires réclament le respect des textes, la transparence dans la présentation des rapports moral et financier, et surtout un débat ouvert sur les choix stratégiques qui ont conduit le Wydad à l’un des pires passages à vide de son histoire récente. La suite de cet article est réservée aux abonnés. Soutenez un média indépendant et exigeant Accédez à tous les contenus de TelQuel en illimité Lisez le magazine en numérique avant sa sortie en kiosque Accédez à plus de 1000 numéros de TelQuel numérisés Déjà abonné ? Se connecter",1,2025-08-05T15:51:03.933983
  Sport,,,https://cdn.telquel.ma/content/themes/telquel/dist/images/LOGO-grand.jpg,L'actualité du Maroc tel qu'il est,[],https://telquel.ma/categorie/sport,Instant T,,1,2025-08-05T15:51:07.143142
  Subvention pour une écloserie de palourdes : la réponse de Zakia Driouich ravive la controverse,2025-08-05T00:00:00,Younes Saoury,https://cdn.telquel.ma/content/uploads/2025/08/e2f519fc96aef77aa71ae83b9dceaf9b.jpg,"Zakia Driouich a défendu dans une réponse écrite destinée au Parlement une subvention de 20 millions de dirhams accordée à un projet d’écloserie de palourdes, annoncée publiquement lors d’un meeting du RNI. Le PJD continue de dénoncer un manque de transparence et un usage partisan des aides publiques.","['Aquaculture', 'clientélisme', 'écloserie de palourdes', 'Favoritisme', 'Mustapha Ibrahimi', 'Parlement', 'pêche maritime', 'PJD', 'RNI', 'subvention publique', 'Zakia Driouich']",https://telquel.ma/2025/08/05/subvention-pour-une-ecloserie-de-palourdes-la-reponse-de-zakia-driouich-ravive-la-controverse_1945264,Économie,"Zakia Driouich a défendu dans une réponse écrite destinée au Parlement une subvention de 20 millions de dirhams accordée à un projet d’écloserie de palourdes, annoncée publiquement lors d’un meeting du RNI. Le PJD continue de dénoncer un manque de transparence et un usage partisan des aides publiques. Deux mois après une déclaration politique à Dakhla qui avait déclenché une vive polémique, la secrétaire d’État chargée de la Pêche maritime, Zakia Driouich, a livré sa réponse écrite au Parlement concernant une subvention publique annoncée devant des représentants de la… La suite de cet article est réservée aux abonnés. Soutenez un média indépendant et exigeant Accédez à tous les contenus de TelQuel en illimité Lisez le magazine en numérique avant sa sortie en kiosque Accédez à plus de 1000 numéros de TelQuel numérisés Déjà abonné ? Se connecter",1,2025-08-05T15:51:09.378114
  Politique,,,https://cdn.telquel.ma/content/themes/telquel/dist/images/LOGO-grand.jpg,L'actualité du Maroc tel qu'il est,[],https://telquel.ma/categorie/maroc/politique,Instant T,,1,2025-08-05T15:51:13.374423
  La médina de Fès inscrite au registre de l’ALECSO du patrimoine architectural et urbain,2025-08-05T00:00:00,La Rédaction,https://cdn.telquel.ma/content/uploads/2025/08/00135a1d4de7f3dab6f6eb27da18c2aa-e1754402125365.jpg,"La médina de Fès a intégré la première liste des sites inscrits au registre du patrimoine architectural et urbain de l’Organisation arabe pour l’éducation, la culture et les sciences (ALECSO).","['alesco', 'Culture', 'Fès', 'médina', 'patrimoine', 'patrimoine architectural', 'Urbain']",https://telquel.ma/instant-t/2025/08/05/la-medina-de-fes-inscrite-au-registre-de-lalecso-du-patrimoine-architectural-et-urbain_1945331/,Conseils de Qitab,"Un communiqué de l’organisation précise que la médina de Fès figure sur ce registre du patrimoine aux côtés d’autres sites en particulier la vielle ville d’Al Qods. Cette première série des sites inscrits par le Comité d’évaluation à ce registre, récemment lancé par l’ALECSO, comprend aussi deux sites en Palestine (la vieille ville d’Al Khalil et la grande mosquée Omari dans la vieille ville de Gaza). Au Maghreb, on note, outre la médina de Fès, la mosquée Zitouna (Tunisie), le site archéologique d’Azougui (Mauritanie) et le village de Tounine à Ghadamès (Libye). Préserver et valoriser le patrimoine architectural des pays arabes Récemment lancé par l’ALECSO, le registre du patrimoine architectural et urbain se démarque par l’accent mis sur la dimension créative dans l’architecture, à travers la valorisation des contributions des architectes arabes dans la conception de monuments exprimant l’identité des villes. Il accorde également une attention particulière aux villes anciennes ayant conservé leur cachet historique traditionnel, ainsi qu’au patrimoine architectural contemporain reflétant l’évolution du goût esthétique et du savoir dans le monde arabe. Selon l’ALECSO, ce registre constitue l’une des initiatives majeures visant à préserver et valoriser le patrimoine architectural dans les pays arabes, contribuant ainsi à la sauvegarde de la mémoire collective commune et à la protection des composantes de l’identité culturelle arabe contre l’oubli. (avec MAP)",1,2025-08-05T15:51:16.664840
  Culture,,,https://cdn.telquel.ma/content/themes/telquel/dist/images/LOGO-grand.jpg,L'actualité du Maroc tel qu'il est,[],https://telquel.ma/categorie/culture,Instant T,,1,2025-08-05T15:51:20.608808
  Retraites : les déséquilibres structurels persistent en 2024,2025-08-05T00:00:00,La Rédaction,https://cdn.telquel.ma/content/uploads/2025/05/b45129ad9999a39c3f074e33e6def4e7.jpg,"Les hausses salariales issues du dialogue social d'avril 2024 n'ont apporté qu'un répit temporaire aux régimes de retraite. Selon le rapport annuel de Bank Al-Maghrib, ACAPS et AMMC, les déséquilibres structurels persistent, rendant une réforme systémique du secteur ","['CNSS', 'déséquilibres', 'réforme des retraites', 'régimes', 'Retraite', 'retraités']",https://telquel.ma/instant-t/2025/08/05/retraites-les-desequilibres-structurels-persistent-en-2024_1945328/,Économie,"Les régimes de retraite de base continuent d’enregistrer des déséquilibres structurels en 2024, d’après le rapport annuel sur la stabilité financière. “Malgré l’amélioration temporaire de certains indicateurs financiers à la suite de l’application de la première tranche des augmentations salariales issues du dialogue social du 29 avril 2024, les régimes de retraite de base continuent d’enregistrer des déséquilibres structurels”, souligne le rapport publié par Bank Al-Maghrib (BAM), l’Autorité de contrôle des assurances et de la prévoyance sociale (ACAPS) et l’Autorité marocaine du marché des capitaux (AMMC). Pour les régimes du secteur public (CMR-RPC et RCAR-RG), la revalorisation des salaires a permis d’améliorer les cotisations ce qui a atténué partiellement les déficits, relève la même source, notant que la viabilité à long terme de ces régimes n’a pas connu d’amélioration significative. Au niveau de la Caisse nationale de sécurité sociale (CNSS), la branche long terme maintient un solde global positif, porté par une dynamique démographique favorable du secteur privé. Toutefois, la sous-tarification des droits au sein de ce régime et l’assouplissement des conditions d’accès à la pension ou de restitution des cotisations fragilisent ses équilibres à long terme. Dans ce contexte, il devient de plus en plus indispensable de procéder à la réforme du secteur, recommande le rapport, estimant qu’une tarification équilibrée des régimes devrait être instaurée au terme de cette réforme permettant de résorber une grande partie des engagements non couverts des régimes et d’assurer leur soutenabilité à long terme. Et de rappeler que les orientations stratégiques de cette réforme systémique ont été arrêtées par l’accord du dialogue social précité. (avec MAP)",1,2025-08-05T15:51:22.842072
  Israël réautorise l’entrée partielle des marchandises privées dans Gaza,2025-08-05T00:00:00,Afp,https://cdn.telquel.ma/content/uploads/2025/07/5ae799ffbf46897ab73c22e067e45516-1.jpg,"Israël a réautorisé l'entrée partielle des marchandises privées dans la bande de Gaza assiégée et menacée de famine, a annoncé mardi le Cogat, un organisme du ministère de la Défense en charge de l'administration civile de ce territoire palestinien.","['Aide humanitaire', 'entrée', 'Gaza', 'Israel', 'marchandises', 'onu', 'Palestine']",https://telquel.ma/instant-t/2025/08/05/israel-reautorise-lentree-partielle-des-marchandises-privees-dans-gaza_1945302/,Économie,"Un mécanisme a été approuvé pour reprendre progressivement et de manière contrôlée l’entrée de marchandises via le secteur privé à Gaza”, indique un communiqué du Cogat. “L’objectif est d’augmenter le volume de l’aide entrant dans la bande de Gaza, tout en réduisant la dépendance à l’égard de la collecte de l’aide par l’ONU et les organisations internationales”, selon la même source. Cette mesure est prise “suite à la décision du cabinet (du Premier ministre) d’élargir l’aide humanitaire et après un travail préparatoire mené par les services de sécurité”. Pour “mettre en place ce mécanisme, le système de sécurité a approuvé un nombre limité de commerçants locaux, sous réserve de plusieurs critères et d’un contrôle de sécurité rigoureux”, détaille le Cogat. Le paiement des marchandises “s’effectuera uniquement par virement bancaire, sous contrôle et supervision”. La territoire palestinien menacé d’une “famine généralisée” “Les marchandises approuvées comprennent des produits alimentaires de base, des aliments pour bébés, des fruits et légumes et des articles d’hygiène”, affirme le Cogat. Toutes les marchandises seront soumises à un contrôle rigoureux par l’Autorité des passages terrestres du ministère de la Défense avant leur entrée dans la bande de Gaza, souligne cet organisme. L’armée israélienne, “par l’intermédiaire du Cogat et en collaboration avec les services de sécurité, continuera à mettre en œuvre des mécanismes de contrôle et de surveillance de l’entrée de l’aide dans la bande de Gaza, tout en prenant toutes les mesures possibles pour empêcher l’implication de l’organisation terroriste Hamas dans les processus d’acheminement et de distribution de l’aide”, conclut le communiqué. Depuis le début de la guerre, Israël assiège plus de deux millions de Palestiniens entassés dans un territoire de 365 km2, déjà soumis à un blocus israélien depuis plus de 15 ans. Il a levé fin mai le blocus humanitaire total qu’il avait imposé début mars, mais n’autorise l’entrée que de quantités très limitées, jugées insuffisantes par l’ONU. Le territoire palestinien, totalement dépendant de l’aide humanitaire, est désormais menacé d’une “famine généralisée”, selon l’ONU. 300 camions d’aide sont entrés à Gaza Selon le Cogat, plus de 300 camions d’aide ont pénétré dans Gaza lundi, un chiffre plus élevé que la moyenne de ces derniers jours, et “des centaines d’autres attendent de le faire”. 120 colis de vivres ont également été largués par voie aérienne, en coopération avec les Emirats arabes unis, la Jordanie, l’Allemagne, le Canada et la Belgique. Le Hamas a dit de son côté que “seulement 95 camions d’aide sont entrés lundi dans Gaza, dans un contexte de catastrophe humanitaire qui s’aggrave”. “La majorité a été pillée en raison de l’état de chaos sécuritaire délibérément instauré par l’occupation israélienne dans le cadre de sa politique systématique de gestion du chaos et de la famine, visant à démanteler la cohésion sociale et à saper la résilience des civils”, a accusé de nouveau le mouvement islamiste. Les agences de l’ONU estiment à au moins 600 le nombre de camions nécessaires pour venir en aide à la population du territoire palestinien.",2,2025-08-05T15:51:26.342311
